Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Hashed Out by The SSL Store™;Nohe, Patrick;The difference between Encryption, Hashing and Salting;19/12/2018;https://www.thesslstore.com/blog/difference-encryption-hashing-salting/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;ICRAC;Researchers in Support of Google Employees;Open Letter in Support of Google Employees and Tech Workers;17/05/2018;https://www.icrac.net/open-letter-in-support-of-google-employees-and-tech-workers/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Inverted Passion;Chopra, Author Paras;On the inefficiency of machine learning algorithms;03/07/2018;https://invertedpassion.com/inefficiency-machine-learning-algorithms/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Learning Machine Learning;Mayeesha, Tahsin;Introduction to Tensorflow Estimators;17/08/2018;https://medium.com/learning-machine-learning/introduction-to-tensorflow-estimators-part-1-39f9eb666bc7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Medium;Gillett, Stephen;Give Good the Advantage;14/12/2018;https://medium.com/chronicle-blog/give-good-the-advantage-75ab2c242e45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Medium;Kumar, Naveen;Beginner’s guide to TensorFlow;09/07/2018;https://medium.com/@naveenkb/beginners-guide-to-tensorflow-by-a-beginner-ebb93e521ece;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Medium;Ng, Andrew;Introducing the AI Transformation Playbook;13/12/2018;https://medium.com/@andrewng/introducing-the-ai-transformation-playbook-58ccad4393e9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;NVIDIA Blog;Salian, Isha;Supervised Vs. Unsupervised Learning;02/08/2018;https://34.214.249.23.nip.io/blog/supervised-unsupervised-learning/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Robot Futures;Suchman, Lucy;Corporate Accountability;11/06/2018;https://robotfutures.wordpress.com/2018/06/10/corporate-accountability/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;TechCrunch;Lomas, Natasha;Here are the experts who will help shape Europe's AI policy;14/06/2018;https://techcrunch.com/2018/06/14/here-are-the-experts-who-will-help-shape-europes-ai-policy/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
